Stationsmessort:	Nordkette
Stationsname:	Beobachter Nordkette (seit 1973)
Stationsnummer:	4307020551
Lokale Koordinaten X:	---
Lokale Koordinaten Y:	---
MPH:	1905
Parametername:	HS
Parametertyp:	SH
Name des Parametertyps:	Schneehöhe
Name der Zeitreihe:	2043/4307020551/HS/Cmd
Einheit der Zeitreihe:	cm
Regionale Koordinaten X:	229195,270194
Regionale Koordinaten Y:	241403,961728
Geografische Länge:	11,3803
Geografische Breite:	47,3067
Datum;Uhrzeit;Wert[cm];Status des Werts
02.11.1993;07:00:00;---;255
03.11.1993;07:00:00;---;255
04.11.1993;07:00:00;---;255
05.11.1993;07:00:00;---;255
06.11.1993;07:00:00;---;255
07.11.1993;07:00:00;---;255
08.11.1993;07:00:00;---;255
09.11.1993;07:00:00;---;255
10.11.1993;07:00:00;---;255
11.11.1993;07:00:00;---;255
12.11.1993;07:00:00;---;255
13.11.1993;07:00:00;---;255
14.11.1993;07:00:00;---;255
15.11.1993;07:00:00;---;255
16.11.1993;07:00:00;---;255
17.11.1993;07:00:00;---;255
18.11.1993;07:00:00;---;255
19.11.1993;07:00:00;---;255
20.11.1993;07:00:00;---;255
21.11.1993;07:00:00;---;255
22.11.1993;07:00:00;---;255
23.11.1993;07:00:00;---;255
24.11.1993;07:00:00;---;255
25.11.1993;07:00:00;---;255
26.11.1993;07:00:00;---;255
27.11.1993;07:00:00;---;255
28.11.1993;07:00:00;---;255
29.11.1993;07:00:00;---;255
30.11.1993;07:00:00;---;255
01.12.1993;07:00:00;---;255
02.12.1993;07:00:00;---;255
03.12.1993;07:00:00;---;255
04.12.1993;07:00:00;---;255
05.12.1993;07:00:00;---;255
06.12.1993;07:00:00;---;255
07.12.1993;07:00:00;---;255
08.12.1993;07:00:00;---;255
09.12.1993;07:00:00;---;255
10.12.1993;07:00:00;---;255
11.12.1993;07:00:00;---;255
12.12.1993;07:00:00;---;255
13.12.1993;07:00:00;66;200
14.12.1993;07:00:00;60;200
15.12.1993;07:00:00;60;200
16.12.1993;07:00:00;57;200
17.12.1993;07:00:00;69;200
18.12.1993;07:00:00;89;200
19.12.1993;07:00:00;82;200
20.12.1993;07:00:00;75;200
21.12.1993;07:00:00;59;200
22.12.1993;07:00:00;53;200
23.12.1993;07:00:00;62;200
24.12.1993;07:00:00;40;200
25.12.1993;07:00:00;79;200
26.12.1993;07:00:00;89;200
27.12.1993;07:00:00;85;200
28.12.1993;07:00:00;84;200
29.12.1993;07:00:00;77;200
30.12.1993;07:00:00;76;200
31.12.1993;07:00:00;78;200
01.01.1994;07:00:00;90;200
02.01.1994;07:00:00;107;200
03.01.1994;07:00:00;129;200
04.01.1994;07:00:00;129;200
05.01.1994;07:00:00;128;200
06.01.1994;07:00:00;114;200
07.01.1994;07:00:00;118;200
08.01.1994;07:00:00;103;200
09.01.1994;07:00:00;112;200
10.01.1994;07:00:00;100;200
11.01.1994;07:00:00;107;200
12.01.1994;07:00:00;101;200
13.01.1994;07:00:00;102;200
14.01.1994;07:00:00;100;200
15.01.1994;07:00:00;105;200
16.01.1994;07:00:00;108;200
17.01.1994;07:00:00;106;200
18.01.1994;07:00:00;104;200
19.01.1994;07:00:00;104;200
20.01.1994;07:00:00;102;200
21.01.1994;07:00:00;101;200
22.01.1994;07:00:00;103;200
23.01.1994;07:00:00;100;200
24.01.1994;07:00:00;99;200
25.01.1994;07:00:00;127;200
26.01.1994;07:00:00;129;200
27.01.1994;07:00:00;182;200
28.01.1994;07:00:00;206;200
